0.00.005.110 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.005.980 W srv  llama_server: -----------------
0.00.005.984 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.005.984 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.005.985 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.005.985 W srv  llama_server: -----------------
0.00.007.277 I srv    load_model: loading model '/home/sandalots/excalibur/artifacts/excalibur-medic-1b-Q4_K_M.gguf'
0.06.882.496 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 2048, kv_unified = 'true'
0.06.909.546 I srv  llama_server: model loaded
0.06.909.554 I srv  llama_server: listening on http://127.0.0.1:8080
3.13.001.296 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
5.22.831.313 I slot print_timing: id  1 | task 727 |    graphs reused =        803
5.22.832.275 I slot      release: id  1 | task 727 | stop processing: n_tokens = 663, truncated = 0
5.26.362.757 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.203 (> 0.100 thold), f_keep = 0.176
5.26.379.739 I slot launch_slot_: id  1 | task 836 | processing task, is_child = 0
5.29.974.650 I slot print_timing: id  1 | task 836 | prompt processing, n_tokens =    256, progress = 0.65, t =   3.59 s / 71.21 tokens per second
5.31.954.374 I slot print_timing: id  1 | task 836 | prompt processing, n_tokens =    384, progress = 0.87, t =   5.57 s / 68.88 tokens per second
5.41.313.645 I slot print_timing: id  1 | task 836 | n_decoded =    100, tg =  12.33 t/s, tg_3s =  12.33 t/s
5.44.217.171 I slot print_timing: id  1 | task 836 | prompt eval time =    6824.62 ms /   458 tokens (   14.90 ms per token,    67.11 tokens per second)
5.44.217.218 I slot print_timing: id  1 | task 836 |        eval time =   11012.76 ms /   135 tokens (   81.58 ms per token,    12.26 tokens per second)
5.44.217.221 I slot print_timing: id  1 | task 836 |       total time =   17837.38 ms /   593 tokens
5.44.217.222 I slot print_timing: id  1 | task 836 |    graphs reused =        938
5.44.217.849 I slot      release: id  1 | task 836 | stop processing: n_tokens = 709, truncated = 0
5.47.715.281 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.183 (> 0.100 thold), f_keep = 0.165
5.47.722.793 I slot launch_slot_: id  1 | task 975 | processing task, is_child = 0
5.51.278.940 I slot print_timing: id  1 | task 975 | prompt processing, n_tokens =    256, progress = 0.58, t =   3.56 s / 71.99 tokens per second
5.53.256.892 I slot print_timing: id  1 | task 975 | prompt processing, n_tokens =    384, progress = 0.78, t =   5.53 s / 69.39 tokens per second
5.55.373.810 I slot print_timing: id  1 | task 975 | prompt processing, n_tokens =    512, progress = 0.98, t =   7.65 s / 66.92 tokens per second
6.03.875.376 I slot print_timing: id  1 | task 975 | n_decoded =    100, tg =  12.14 t/s, tg_3s =  12.14 t/s
6.06.836.982 I slot print_timing: id  1 | task 975 | prompt eval time =    7912.41 ms /   523 tokens (   15.13 ms per token,    66.10 tokens per second)
6.06.836.987 I slot print_timing: id  1 | task 975 |        eval time =   11201.72 ms /   135 tokens (   82.98 ms per token,    12.05 tokens per second)
6.06.836.988 I slot print_timing: id  1 | task 975 |       total time =   19114.12 ms /   658 tokens
6.06.836.990 I slot print_timing: id  1 | task 975 |    graphs reused =       1072
6.06.837.701 I slot      release: id  1 | task 975 | stop processing: n_tokens = 774, truncated = 0
6.13.757.037 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.580 (> 0.100 thold), f_keep = 0.150
6.13.764.862 I slot launch_slot_: id  1 | task 1115 | processing task, is_child = 0
6.22.300.871 I slot print_timing: id  1 | task 1115 | n_decoded =    100, tg =  13.54 t/s, tg_3s =  13.54 t/s
6.24.275.472 I slot print_timing: id  1 | task 1115 | prompt eval time =    1150.15 ms /    84 tokens (   13.69 ms per token,    73.03 tokens per second)
6.24.275.477 I slot print_timing: id  1 | task 1115 |        eval time =    9360.39 ms /   126 tokens (   74.29 ms per token,    13.46 tokens per second)
6.24.275.478 I slot print_timing: id  1 | task 1115 |       total time =   10510.54 ms /   210 tokens
6.24.275.480 I slot print_timing: id  1 | task 1115 |    graphs reused =       1196
6.24.275.531 I slot      release: id  1 | task 1115 | stop processing: n_tokens = 325, truncated = 0
6.31.180.784 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
6.31.185.484 I slot launch_slot_: id  0 | task 1242 | processing task, is_child = 0
6.35.972.572 I slot print_timing: id  0 | task 1242 | prompt eval time =    1548.93 ms /   114 tokens (   13.59 ms per token,    73.60 tokens per second)
6.35.972.582 I slot print_timing: id  0 | task 1242 |        eval time =    3227.72 ms /    37 tokens (   87.24 ms per token,    11.46 tokens per second)
6.35.972.583 I slot print_timing: id  0 | task 1242 |       total time =    4776.65 ms /   151 tokens
6.35.972.585 I slot print_timing: id  0 | task 1242 |    graphs reused =       1231
6.35.973.049 I slot      release: id  0 | task 1242 | stop processing: n_tokens = 207, truncated = 0
6.42.930.307 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 19470114639
6.42.934.323 I slot launch_slot_: id  3 | task 1280 | processing task, is_child = 0
6.46.510.181 I slot print_timing: id  3 | task 1280 | prompt processing, n_tokens =    256, progress = 0.64, t =   3.57 s / 71.62 tokens per second
6.48.496.015 I slot print_timing: id  3 | task 1280 | prompt processing, n_tokens =    384, progress = 0.87, t =   5.56 s / 69.06 tokens per second
6.57.888.414 I slot print_timing: id  3 | task 1280 | n_decoded =    100, tg =  12.36 t/s, tg_3s =  12.36 t/s
7.00.963.059 I slot print_timing: id  3 | task 1280 | n_decoded =    137, tg =  12.27 t/s, tg_3s =  12.03 t/s
7.01.466.698 I slot print_timing: id  3 | task 1280 | prompt eval time =    6862.48 ms /   461 tokens (   14.89 ms per token,    67.18 tokens per second)
7.01.466.703 I slot print_timing: id  3 | task 1280 |        eval time =   11668.32 ms /   143 tokens (   81.60 ms per token,    12.26 tokens per second)
7.01.466.704 I slot print_timing: id  3 | task 1280 |       total time =   18530.79 ms /   604 tokens
7.01.466.706 I slot print_timing: id  3 | task 1280 |    graphs reused =       1374
7.01.467.652 I slot      release: id  3 | task 1280 | stop processing: n_tokens = 719, truncated = 0
7.04.933.441 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.173 (> 0.100 thold), f_keep = 0.163
7.04.937.841 I slot launch_slot_: id  3 | task 1427 | processing task, is_child = 0
7.08.512.508 I slot print_timing: id  3 | task 1427 | prompt processing, n_tokens =    256, progress = 0.55, t =   3.57 s / 71.62 tokens per second
7.10.499.299 I slot print_timing: id  3 | task 1427 | prompt processing, n_tokens =    384, progress = 0.74, t =   5.56 s / 69.05 tokens per second
7.12.616.901 I slot print_timing: id  3 | task 1427 | prompt processing, n_tokens =    512, progress = 0.93, t =   7.68 s / 66.68 tokens per second
7.21.774.988 I slot print_timing: id  3 | task 1427 | n_decoded =    100, tg =  12.06 t/s, tg_3s =  12.06 t/s
7.24.850.536 I slot print_timing: id  3 | task 1427 | prompt eval time =    8542.84 ms /   560 tokens (   15.26 ms per token,    65.55 tokens per second)
7.24.850.541 I slot print_timing: id  3 | task 1427 |        eval time =   11369.80 ms /   136 tokens (   83.60 ms per token,    11.96 tokens per second)
7.24.850.542 I slot print_timing: id  3 | task 1427 |       total time =   19912.64 ms /   696 tokens
7.24.850.543 I slot print_timing: id  3 | task 1427 |    graphs reused =       1510
7.24.850.886 I slot      release: id  3 | task 1427 | stop processing: n_tokens = 812, truncated = 0
7.27.973.738 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.532 (> 0.100 thold), f_keep = 0.031
7.27.981.167 I slot launch_slot_: id  3 | task 1568 | processing task, is_child = 0
7.35.347.708 I slot print_timing: id  3 | task 1568 | n_decoded =    100, tg =  14.25 t/s, tg_3s =  14.25 t/s
7.38.363.866 I slot print_timing: id  3 | task 1568 | n_decoded =    142, tg =  14.16 t/s, tg_3s =  13.92 t/s
7.41.418.198 I slot print_timing: id  3 | task 1568 | n_decoded =    184, tg =  14.06 t/s, tg_3s =  13.75 t/s
7.42.593.500 I slot print_timing: id  3 | task 1568 | prompt eval time =     351.21 ms /    22 tokens (   15.96 ms per token,    62.64 tokens per second)
7.42.593.509 I slot print_timing: id  3 | task 1568 |        eval time =   14261.07 ms /   200 tokens (   71.31 ms per token,    14.02 tokens per second)
7.42.593.511 I slot print_timing: id  3 | task 1568 |       total time =   14612.27 ms /   222 tokens
7.42.593.512 I slot print_timing: id  3 | task 1568 |    graphs reused =       1708
7.42.593.588 I slot      release: id  3 | task 1568 | stop processing: n_tokens = 246, truncated = 0
7.42.638.579 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.191
7.42.640.349 I slot launch_slot_: id  3 | task 1769 | processing task, is_child = 0
7.42.640.376 W slot   operator(): id  3 | task 1769 | need to evaluate at least 1 token for each active slot (n_past = 47, task.n_tokens() = 47)
7.42.640.377 W slot   operator(): id  3 | task 1769 | n_past was set to 46
7.49.697.441 I slot print_timing: id  3 | task 1769 | n_decoded =    100, tg =  14.31 t/s, tg_3s =  14.31 t/s
7.52.720.263 I slot print_timing: id  3 | task 1769 | n_decoded =    142, tg =  14.19 t/s, tg_3s =  13.89 t/s
7.55.774.854 I slot print_timing: id  3 | task 1769 | n_decoded =    184, tg =  14.08 t/s, tg_3s =  13.75 t/s
7.56.945.234 I slot print_timing: id  3 | task 1769 | prompt eval time =      69.83 ms /     1 tokens (   69.83 ms per token,    14.32 tokens per second)
7.56.945.243 I slot print_timing: id  3 | task 1769 |        eval time =   14235.01 ms /   200 tokens (   71.18 ms per token,    14.05 tokens per second)
7.56.945.244 I slot print_timing: id  3 | task 1769 |       total time =   14304.84 ms /   201 tokens
7.56.945.245 I slot print_timing: id  3 | task 1769 |    graphs reused =       1908
7.56.945.278 I slot      release: id  3 | task 1769 | stop processing: n_tokens = 246, truncated = 0
7.56.966.408 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.191
7.56.966.514 I slot launch_slot_: id  3 | task 1970 | processing task, is_child = 0
7.56.966.534 W slot   operator(): id  3 | task 1970 | need to evaluate at least 1 token for each active slot (n_past = 47, task.n_tokens() = 47)
7.56.966.536 W slot   operator(): id  3 | task 1970 | n_past was set to 46
8.04.030.360 I slot print_timing: id  3 | task 1970 | n_decoded =    100, tg =  14.30 t/s, tg_3s =  14.30 t/s
8.07.054.025 I slot print_timing: id  3 | task 1970 | n_decoded =    142, tg =  14.18 t/s, tg_3s =  13.89 t/s
8.10.111.377 I slot print_timing: id  3 | task 1970 | n_decoded =    184, tg =  14.07 t/s, tg_3s =  13.74 t/s
8.11.284.055 I slot print_timing: id  3 | task 1970 | prompt eval time =      69.85 ms /     1 tokens (   69.85 ms per token,    14.32 tokens per second)
8.11.284.064 I slot print_timing: id  3 | task 1970 |        eval time =   14247.65 ms /   200 tokens (   71.24 ms per token,    14.04 tokens per second)
8.11.284.065 I slot print_timing: id  3 | task 1970 |       total time =   14317.50 ms /   201 tokens
8.11.284.066 I slot print_timing: id  3 | task 1970 |    graphs reused =       2108
8.11.284.099 I slot      release: id  3 | task 1970 | stop processing: n_tokens = 246, truncated = 0
8.11.305.429 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.191
8.11.305.531 I slot launch_slot_: id  3 | task 2171 | processing task, is_child = 0
8.11.305.550 W slot   operator(): id  3 | task 2171 | need to evaluate at least 1 token for each active slot (n_past = 47, task.n_tokens() = 47)
8.11.305.551 W slot   operator(): id  3 | task 2171 | n_past was set to 46
8.18.372.840 I slot print_timing: id  3 | task 2171 | n_decoded =    100, tg =  14.29 t/s, tg_3s =  14.29 t/s
8.21.397.176 I slot print_timing: id  3 | task 2171 | n_decoded =    142, tg =  14.17 t/s, tg_3s =  13.89 t/s
8.24.455.114 I slot print_timing: id  3 | task 2171 | n_decoded =    184, tg =  14.07 t/s, tg_3s =  13.73 t/s
8.25.627.584 I slot print_timing: id  3 | task 2171 | prompt eval time =      69.80 ms /     1 tokens (   69.80 ms per token,    14.33 tokens per second)
8.25.627.593 I slot print_timing: id  3 | task 2171 |        eval time =   14252.22 ms /   200 tokens (   71.26 ms per token,    14.03 tokens per second)
8.25.627.594 I slot print_timing: id  3 | task 2171 |       total time =   14322.02 ms /   201 tokens
8.25.627.596 I slot print_timing: id  3 | task 2171 |    graphs reused =       2308
8.25.627.625 I slot      release: id  3 | task 2171 | stop processing: n_tokens = 246, truncated = 0
8.25.648.870 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.191
8.25.648.971 I slot launch_slot_: id  3 | task 2372 | processing task, is_child = 0
8.25.648.990 W slot   operator(): id  3 | task 2372 | need to evaluate at least 1 token for each active slot (n_past = 47, task.n_tokens() = 47)
8.25.648.992 W slot   operator(): id  3 | task 2372 | n_past was set to 46
8.32.716.580 I slot print_timing: id  3 | task 2372 | n_decoded =    100, tg =  14.29 t/s, tg_3s =  14.29 t/s
8.35.740.746 I slot print_timing: id  3 | task 2372 | n_decoded =    142, tg =  14.17 t/s, tg_3s =  13.89 t/s
8.38.794.238 I slot print_timing: id  3 | task 2372 | n_decoded =    184, tg =  14.07 t/s, tg_3s =  13.75 t/s
8.39.964.002 I slot print_timing: id  3 | task 2372 | prompt eval time =      70.11 ms /     1 tokens (   70.11 ms per token,    14.26 tokens per second)
8.39.964.012 I slot print_timing: id  3 | task 2372 |        eval time =   14244.89 ms /   200 tokens (   71.22 ms per token,    14.04 tokens per second)
8.39.964.013 I slot print_timing: id  3 | task 2372 |       total time =   14315.00 ms /   201 tokens
8.39.964.014 I slot print_timing: id  3 | task 2372 |    graphs reused =       2508
8.39.964.044 I slot      release: id  3 | task 2372 | stop processing: n_tokens = 246, truncated = 0
8.39.985.120 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.191
8.39.985.220 I slot launch_slot_: id  3 | task 2573 | processing task, is_child = 0
8.39.985.239 W slot   operator(): id  3 | task 2573 | need to evaluate at least 1 token for each active slot (n_past = 47, task.n_tokens() = 47)
8.39.985.240 W slot   operator(): id  3 | task 2573 | n_past was set to 46
8.47.051.688 I slot print_timing: id  3 | task 2573 | n_decoded =    100, tg =  14.29 t/s, tg_3s =  14.29 t/s
8.50.073.448 I slot print_timing: id  3 | task 2573 | n_decoded =    142, tg =  14.17 t/s, tg_3s =  13.90 t/s
8.53.125.893 I slot print_timing: id  3 | task 2573 | n_decoded =    184, tg =  14.08 t/s, tg_3s =  13.76 t/s
8.54.305.503 I slot print_timing: id  3 | task 2573 | prompt eval time =      70.11 ms /     1 tokens (   70.11 ms per token,    14.26 tokens per second)
8.54.305.512 I slot print_timing: id  3 | task 2573 |        eval time =   14250.14 ms /   200 tokens (   71.25 ms per token,    14.03 tokens per second)
8.54.305.513 I slot print_timing: id  3 | task 2573 |       total time =   14320.25 ms /   201 tokens
8.54.305.515 I slot print_timing: id  3 | task 2573 |    graphs reused =       2708
8.54.305.599 I slot      release: id  3 | task 2573 | stop processing: n_tokens = 246, truncated = 0
8.54.326.511 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.191
8.54.326.604 I slot launch_slot_: id  3 | task 2774 | processing task, is_child = 0
8.54.326.622 W slot   operator(): id  3 | task 2774 | need to evaluate at least 1 token for each active slot (n_past = 47, task.n_tokens() = 47)
8.54.326.624 W slot   operator(): id  3 | task 2774 | n_past was set to 46
9.01.387.663 I slot print_timing: id  3 | task 2774 | n_decoded =    100, tg =  14.30 t/s, tg_3s =  14.30 t/s
9.04.412.477 I slot print_timing: id  3 | task 2774 | n_decoded =    142, tg =  14.18 t/s, tg_3s =  13.89 t/s
9.07.464.211 I slot print_timing: id  3 | task 2774 | n_decoded =    184, tg =  14.08 t/s, tg_3s =  13.76 t/s
9.08.633.588 I slot print_timing: id  3 | task 2774 | prompt eval time =      69.86 ms /     1 tokens (   69.86 ms per token,    14.31 tokens per second)
9.08.633.598 I slot print_timing: id  3 | task 2774 |        eval time =   14237.09 ms /   200 tokens (   71.19 ms per token,    14.05 tokens per second)
9.08.633.599 I slot print_timing: id  3 | task 2774 |       total time =   14306.95 ms /   201 tokens
9.08.633.600 I slot print_timing: id  3 | task 2774 |    graphs reused =       2908
9.08.633.631 I slot      release: id  3 | task 2774 | stop processing: n_tokens = 246, truncated = 0
9.08.654.647 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.191
9.08.654.748 I slot launch_slot_: id  3 | task 2975 | processing task, is_child = 0
9.08.654.767 W slot   operator(): id  3 | task 2975 | need to evaluate at least 1 token for each active slot (n_past = 47, task.n_tokens() = 47)
9.08.654.769 W slot   operator(): id  3 | task 2975 | n_past was set to 46
9.15.722.291 I slot print_timing: id  3 | task 2975 | n_decoded =    100, tg =  14.29 t/s, tg_3s =  14.29 t/s
9.18.745.123 I slot print_timing: id  3 | task 2975 | n_decoded =    142, tg =  14.17 t/s, tg_3s =  13.89 t/s
9.21.798.426 I slot print_timing: id  3 | task 2975 | n_decoded =    184, tg =  14.07 t/s, tg_3s =  13.76 t/s
9.22.970.385 I slot print_timing: id  3 | task 2975 | prompt eval time =      69.83 ms /     1 tokens (   69.83 ms per token,    14.32 tokens per second)
9.22.970.393 I slot print_timing: id  3 | task 2975 |        eval time =   14245.77 ms /   200 tokens (   71.23 ms per token,    14.04 tokens per second)
9.22.970.394 I slot print_timing: id  3 | task 2975 |       total time =   14315.60 ms /   201 tokens
9.22.970.396 I slot print_timing: id  3 | task 2975 |    graphs reused =       3108
9.22.970.427 I slot      release: id  3 | task 2975 | stop processing: n_tokens = 246, truncated = 0
9.22.991.588 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.191
9.22.991.681 I slot launch_slot_: id  3 | task 3176 | processing task, is_child = 0
9.22.991.700 W slot   operator(): id  3 | task 3176 | need to evaluate at least 1 token for each active slot (n_past = 47, task.n_tokens() = 47)
9.22.991.702 W slot   operator(): id  3 | task 3176 | n_past was set to 46
9.30.053.558 I slot print_timing: id  3 | task 3176 | n_decoded =    100, tg =  14.30 t/s, tg_3s =  14.30 t/s
9.33.074.595 I slot print_timing: id  3 | task 3176 | n_decoded =    142, tg =  14.18 t/s, tg_3s =  13.90 t/s
9.36.127.459 I slot print_timing: id  3 | task 3176 | n_decoded =    184, tg =  14.08 t/s, tg_3s =  13.76 t/s
9.37.298.248 I slot print_timing: id  3 | task 3176 | prompt eval time =      69.72 ms /     1 tokens (   69.72 ms per token,    14.34 tokens per second)
9.37.298.257 I slot print_timing: id  3 | task 3176 |        eval time =   14236.81 ms /   200 tokens (   71.18 ms per token,    14.05 tokens per second)
9.37.298.258 I slot print_timing: id  3 | task 3176 |       total time =   14306.53 ms /   201 tokens
9.37.298.260 I slot print_timing: id  3 | task 3176 |    graphs reused =       3308
9.37.298.290 I slot      release: id  3 | task 3176 | stop processing: n_tokens = 246, truncated = 0
9.37.319.354 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.191
9.37.319.450 I slot launch_slot_: id  3 | task 3377 | processing task, is_child = 0
9.37.319.469 W slot   operator(): id  3 | task 3377 | need to evaluate at least 1 token for each active slot (n_past = 47, task.n_tokens() = 47)
